,fnatic,TSM,Virtus.pro,EnVyUs,Natus Vincere,NiP,Cloud9,Dignitas,G2,CLG,mousesports,Luminosity,Liquid,Titan,FlipSid3,E-frag.net,Renegades,Vexed,Immunity,HellRaisers,Conquest,CSGL,Winterfox,compLexity,Enemy,Method,Games Academy,SKDC,Torqued,Nexus,CLG Red,?,SK,FaZe,ex-Titan,OpTic,Gambit,Arcade,Rebels,eXplosive,Quest,FLuffy Gangsters,Binary Dragons,Splyce,CyberZen,Leader-1,Obey.Alliance,EZG,Astralis,LDLC White,PENTA,TheMongolz,PixelFire,Chiefs,DenDD,Lemondogs,MVP.karnal,ENCE,Orgless,CPH Wolves,RCTIC,LDLC Blue,Epiphany Bolt,Millenium,Tempo Storm,ALTERNATE aTTaX,Ancient,Selfless,gBots,x6tence,AGG,NRG,noKappa,Space Soldiers,Preparation,Publiclir.se,GODSENT,TYLOO,Escape,MK,Orbit,Epsilon,Dobry&Gaming,Immortals,Kinguin,X,Echo Fox,Spirit,VG.CyberZen,Heroic,Crowns,iGame.com,LDLC,Platinium,Vega Squadron,fnatic Academy,North,BIG,Rogue,DarkPassage,Misfits,MVP Project,Singularity,Tricked,Red Reserve,Outlaws,HAVU,Imperial,passions,eXtatus,AVANGAR,AGO,Seed,100 Thieves,Unemployed for Christmas,Sprout,Valiance,Grayhound,Quantum Bellator Fire,Windigo,TeamOne,MVP PK,Fragsters,eUnited,ORDER,MIBR,LeftOut,Ghost
2015-10-01,1,2,4,3,5,6,7,9,8,11,10,12,14,15,13,16,18,19,,17,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-05,1,2,3,4,5,6,7,9,8,10,12,11,14,15,13,17,18,19,21,16,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-12,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-19,2,1,3,4,6,5,7,8,9,10,11,15,12,13,14,16,17,18,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-26,2,1,3,4,6,5,7,8,9,10,13,15,11,12,14,16,17,18,19,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-03,3,2,4,1,5,6,8,12,7,10,13,9,14,11,15,16,17,18,20,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-09,4,3,2,1,5,6,11,12,7,13,8,9,14,10,15,16,18,19,,,17,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-16,4,3,2,1,5,6,7,18,10,13,8,9,11,12,14,16,17,19,,20,15,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-24,5,2,3,1,4,6,7,17,8,12,10,14,9,11,13,18,15,19,,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,3,2,4,1,5,6,10,17,8,13,11,7,9,12,14,18,15,19,,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
