,EnVyUs,TSM,fnatic,Virtus.pro,Natus Vincere,NiP,G2,Cloud9,Luminosity,CLG,Titan,Dignitas,mousesports,Liquid,FlipSid3,E-frag.net,Renegades,Vexed,CSGL,Immunity,Conquest,Winterfox,compLexity,HellRaisers,Enemy,Method,Games Academy,SKDC,Torqued,Nexus,CLG Red,?,SK,OpTic,Splyce,CyberZen,Leader-1,Obey.Alliance,EZG,FaZe,ex-Titan,Gambit,Arcade,Rebels,eXplosive,Quest,FLuffy Gangsters,Binary Dragons,Astralis,LDLC White,PENTA,TheMongolz,PixelFire,Chiefs,DenDD,Lemondogs,MVP.karnal,Tempo Storm,ALTERNATE aTTaX,Ancient,ENCE,Selfless,gBots,x6tence,Orgless,CPH Wolves,RCTIC,LDLC Blue,Epiphany Bolt,Millenium,noKappa,AGG,NRG,Space Soldiers,Preparation,GODSENT,TYLOO,Orbit,Epsilon,Dobry&Gaming,MK,Publiclir.se,Immortals,Escape,Kinguin,X,Echo Fox,Spirit,VG.CyberZen,Heroic,Crowns,iGame.com,LDLC,Platinium,Vega Squadron,fnatic Academy,North,Rogue,BIG,DarkPassage,Misfits,MVP Project,Singularity,Tricked,Red Reserve,Outlaws,HAVU,passions,Imperial,eXtatus,AVANGAR,100 Thieves,AGO,Seed,Unemployed for Christmas,Sprout,Grayhound,Valiance,Quantum Bellator Fire,Windigo,TeamOne,MVP PK,Fragsters,ORDER,eUnited,MIBR,LeftOut,Ghost
2015-10-01,836,847,952,812,519,443,319,357,243,260,200,287,271,209,215,180,107,107,85,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-05,795,902,912,843,454,449,254,294,218,228,175,230,217,187,191,141,106,97,77,40,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-12,776,889,901,824,415,408,225,270,194,206,175,243,195,189,172,135,108,97,,84,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-19,790,890,884,813,408,440,213,291,185,212,191,225,203,202,188,125,116,102,,83,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-26,778,892,888,805,432,440,209,279,175,208,203,214,197,207,183,139,115,102,77,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-03,949,821,785,722,598,491,308,273,222,220,201,199,198,196,178,128,106,90,82,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-09,949,798,760,837,581,499,301,251,254,214,251,226,295,177,164,131,105,89,79,,130,50,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-16,956,800,589,846,585,507,295,364,307,239,251,107,318,260,163,122,115,95,70,,133,50,40,79,40,30,30,20,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-24,947,888,624,800,759,507,339,374,182,203,234,119,285,327,188,108,164,83,,,127,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,904,893,847,796,727,521,332,288,404,191,211,105,256,330,175,94,161,77,,,124,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
